rto_id,gen_dt,gen_hour,gen_rate,datetime,EI,altitude,azimuth,ghi,dhi,temp,temp_dew,humidity,cloud_vlow,cloud_low,cloud_med,cloud_high,cloud_total,wind_u,wind_v,wind_speed,pressure
B***,20241001,2,0.0,2024-10-01 02:00:00,-3.989705590299826,-50.045614039225185,39.14169358659592,4.62012,23.6934,19.72601318,15.27301025,75.0171,0.0,0.0,0.292145,0.469086,1.0,1.43105,2.18036,2.608040333,1009.820007
B***,20241001,3,0.0,2024-10-01 03:00:00,-3.572504264841881,-41.09813094018018,56.409917981930505,7.4375,16.1465,21.29699707,14.8170166,66.0562,0.0,0.792358,0.872559,0.356445,1.0,1.51869,2.53239,2.952866316,1009.289978
B***,20241001,5,0.0,2024-10-01 05:00:00,-2.0954586538327793,-18.76284312445487,79.78911093047373,13.4102,17.9775,22.33901978,15.65499878,65.6289,0.0,0.667786,0.767731,0.742798,1.0,2.40993,3.17228,3.98385787,1008.340027
B***,20241001,6,0.0,2024-10-01 06:00:00,-1.1363178304976944,-6.78060827008933,89.02602403121284,0.0,0.0,22.23699951,16.23300171,68.3672,0.0,0.464172,0.449554,0.268555,1.0,2.30666,3.04102,3.816868067,1008.140015
B***,20241001,7,5.3373143572583176e-05,2024-10-01 07:00:00,-0.11437579628673858,5.236296696572372,97.98561722371397,3.86328,3.69336,22.61199951,16.15701294,66.6199,0.0,0.540222,0.732697,0.523254,1.0,2.47289,2.83887,3.764886141,1008.119995
B***,20241001,8,0.00252085462719739,2024-10-01 08:00:00,0.9006926852116736,16.9812595858565,107.4785462464481,24.4053,22.8252,22.6000061,16.77401733,69.1581,0.0,1.0,1.0,0.0927734,1.0,2.57858,-1.67937,3.077232122,1008.640015
B***,20241001,9,0.03963845462657177,2024-10-01 09:00:00,1.819421546124181,28.07433889439793,118.40359429765999,38.2252,35.6901,20.13800049,19.36300659,95.493,0.0478821,0.840912,0.899292,0.0,1.0,0.795015,-4.21574,4.290048122,1009.059998
B***,20241001,10,0.14582363949315455,2024-10-01 10:00:00,2.6183387102874205,37.93385913438609,131.8965467292449,58.3986,56.5626,20.1539917,18.2210083,88.3575,0.0,0.820129,0.865875,0.0,1.0,1.25484,-3.43097,3.653242111,1009.22998
B***,20241001,12,0.1843097816354157,2024-10-01 12:00:00,3.5912527152731673,49.766228170421144,170.68342850565114,59.332,59.3398,18.73901367,17.30499268,91.2395,0.0,0.581207,1.0,0.488281,1.0,1.17028,-3.42031,3.614979506,1009.070007
B***,20241001,13,0.20417143375513105,2024-10-01 13:00:00,3.6989178904125017,49.26955900561508,193.83388486258846,73.9878,73.0269,19.47000122,17.01699829,85.7,0.0,0.843109,0.99707,0.811493,1.0,0.70647,-3.21127,3.288062572,1008.530029
B***,20241001,14,0.18448769211399096,2024-10-01 14:00:00,3.5383387747131576,44.27600769282807,214.54046066019842,64.2813,63.7344,19.44900513,15.4750061,77.6525,0.0,0.64975,0.969238,0.757812,1.0,2.36271,-4.11197,4.742435455,1008.549988
B***,20241001,15,0.19231575317130317,2024-10-01 15:00:00,3.1204636185022916,36.04767452327801,230.98425374591022,49.2709,48.3568,18.59301758,14.58901978,77.3905,0.0,0.690094,1.0,0.978821,1.0,2.19532,-3.82261,4.408148766,1008.809998
B***,20241001,16,0.15092419605969346,2024-10-01 16:00:00,2.473782741737965,25.866995116731697,243.8363266217471,40.2808,38.4996,19.00601196,13.56600952,70.2692,0.0,0.783356,0.953125,0.63559,1.0,2.22404,-3.89177,4.482435703,1009.090027
B***,20241001,17,0.1465503353710274,2024-10-01 17:00:00,1.6423860822264582,14.593396824435397,254.3697780693276,29.3108,27.8225,18.88101196,12.54400635,66.4012,0.0,0.40625,1.0,0.653656,1.0,1.41825,-4.46731,4.68703413,1009.619995
B***,20241001,19,0.004454604675096365,2024-10-01 19:00:00,-0.3390914024665975,-9.298662226584831,272.58572634303135,0.448242,0.447754,18.77301025,9.0,52.6815,0.0,0.0,0.294891,0.681976,1.0,2.48812,-5.31478,5.868358135,1010.460022
B***,20241001,20,0.0,2024-10-01 20:00:00,-1.3540778960922712,-21.261251303390576,281.94661996272487,26.1396,35.7207,18.27600098,8.980010986,54.2407,0.0,0.0,0.0,0.744965,1.0,2.20124,-5.47565,5.901542187,1011.349976
B***,20241001,21,0.0,2024-10-01 21:00:00,-2.2928020552291004,-32.778177092972605,292.7268047009842,26.7207,36.1328,17.75601196,9.50302124,58.0967,0.0,0.0177307,0.0,0.77832,1.0,2.27907,-5.96494,6.385504723,1011.950012
B***,20241001,22,0.0,2024-10-01 22:00:00,-3.0912631609895524,-43.291253443334966,306.3326269683567,26.1328,35.5947,17.23599243,8.95199585,58.0636,0.0,0.0418396,0.140625,0.796875,1.0,2.25039,-5.71734,6.144284248,1012.159973
B***,20241002,1,0.0,2024-10-02 01:00:00,3.698838627162325,-56.02505893105594,16.2804686906008,17.8838,24.8789,17.00799561,7.307006836,52.6022,0.0,0.172485,0.561005,1.0,1.0,1.26255,-5.50826,5.651102543,1012.900024
B***,20241002,2,0.0,2024-10-02 02:00:00,-4.008581270049608,-50.33807558059065,39.5581801372814,23.4941,28.3965,17.02001953,7.095001221,51.8566,0.0,0.558807,0.729462,0.0857544,1.0,1.10765,-5.04907,5.169138908,1012.830017
B***,20241002,3,0.0,2024-10-02 03:00:00,-3.5900516771238715,-41.331271314430026,56.83499978602788,22.0312,30.0527,17.04400635,7.213012695,52.0575,0.0,0.624695,0.662781,0.0,0.980957,1.27642,-5.74447,5.884572029,1012.940002
B***,20241002,4,0.0,2024-10-02 04:00:00,-2.942815536777091,-30.56507045590456,69.74792234085692,23.8115,26.6787,16.88601685,7.266998291,52.773,0.0,0.484711,0.752563,0.0,0.997559,0.830454,-6.18377,6.239284515,1013.320007
B***,20241002,6,0.0,2024-10-02 06:00:00,-1.1513184278331596,-6.946173807422306,89.38794095964738,0.0,0.0,15.56799316,7.305999756,57.5519,0.0,0.077301,0.0,0.0,0.301727,-1.23032,-6.17642,6.297765732,1014.76001
B***,20241002,7,0.0022252495243338523,2024-10-02 07:00:00,-0.12919890959070182,5.065869277327804,98.34407121731715,8.12891,6.34766,15.30200195,6.973999023,57.2066,0.0,0.256622,0.0,0.0,0.614655,-1.37124,-7.03667,7.169032574,1015.679993
B***,20241002,9,0.21344056968890301,2024-10-02 09:00:00,1.803803389064626,27.85666270193603,118.77750227825106,330.391,97.1368,16.01599121,5.830993652,50.6048,0.0,0.0105896,0.0,0.0,0.0105896,-0.545348,-6.08934,6.113711357,1017.369995
B***,20241002,10,0.4262926662563647,2024-10-02 10:00:00,2.6018011939008887,37.67078961633161,132.27030596408827,510.503,121.644,16.8500061,5.881011963,48.1761,0.0,0.0,0.0,0.0,0.0,1.36664,-6.25267,6.400279999,1017.409973
